id,text,label,present
oba341arg0,It may be farfetched to say he's a socialist who wants to change the constitution.,p-economy,0
oba341arg1,It may be farfetched to say he's a socialist who wants to change the constitution.,p-War,0
oba341arg2,It may be farfetched to say he's a socialist who wants to change the constitution.,p-republicans,0
oba341arg3,It may be farfetched to say he's a socialist who wants to change the constitution.,p-decision_policies,0
oba341arg4,It may be farfetched to say he's a socialist who wants to change the constitution.,p-quality,0
oba341arg5,It may be farfetched to say he's a socialist who wants to change the constitution.,p-health,0
oba341arg6,It may be farfetched to say he's a socialist who wants to change the constitution.,p-foreign_policies,0
oba341arg7,It may be farfetched to say he's a socialist who wants to change the constitution.,p-job,0
oba341arg8,It may be farfetched to say he's a socialist who wants to change the constitution.,p-Other,0
oba341arg9,It may be farfetched to say he's a socialist who wants to change the constitution.,c-economy,0
oba341arg10,It may be farfetched to say he's a socialist who wants to change the constitution.,c-War,0
oba341arg11,It may be farfetched to say he's a socialist who wants to change the constitution.,c-job,0
oba341arg12,It may be farfetched to say he's a socialist who wants to change the constitution.,c-health,0
oba341arg13,It may be farfetched to say he's a socialist who wants to change the constitution.,c-decision_policies,1
oba341arg14,It may be farfetched to say he's a socialist who wants to change the constitution.,c-republicans,0
oba341arg15,It may be farfetched to say he's a socialist who wants to change the constitution.,c-quality,0
oba341arg16,It may be farfetched to say he's a socialist who wants to change the constitution.,c-foreign_policies,0
oba341arg17,It may be farfetched to say he's a socialist who wants to change the constitution.,c-Other,0
